"","id","name_full","name_senator","gender","foto_url","page_url","office_email","party_abbr","id_mandate","state","status","num_legislature_first_term","first_term_start","first_term_end","num_legislature_second_term","second_term_start","second_term_end"
"11","475","Confucio Aires Moura","Confucio Moura","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/475","sen.confuciomoura@senado.leg.br","MDB","575","RO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"12","5998","Daniella Velloso Borges Ribeiro","Daniella Ribeiro","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998","sen.daniellaribeiro@senado.leg.br","PP","565","PB","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"13","3830","David Samuel Alcolumbre Tobelem","Davi Alcolumbre","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830","davi.alcolumbre@senador.leg.br","DEM","501","AP","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"14","5537","Dario Elias Berger","Dario Berger","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537","dario.berger@senador.leg.br","MDB","499","SC","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"15","4994","Carlos Eduardo de Souza Braga","Eduardo Braga","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994","eduardo.braga@senador.leg.br","MDB","521","AM","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"16","5976","Luis Eduardo Grangeiro Girao","Eduardo Girao","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976","sen.eduardogirao@senado.leg.br","PODE","557","CE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"17","3777","Carlos Eduardo Torres Gomes","Eduardo Gomes","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777","sen.eduardogomes@senado.leg.br","MDB","568","TO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"18","5718","Eliziane Pereira Gama Melo","Eliziane Gama","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718","sen.elizianegama@senado.leg.br","PPS","542","MA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"19","5531","Elmano Ferrer de Almeida","Elmano Ferrer","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531","elmano.ferrer@senador.leg.br","PODE","496","PI","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"20","22","Esperidiao Amin Helou Filho","Esperidiao Amin","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/22","sen.esperidiaoamin@senado.leg.br","PP","572","SC","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"21","5953","Fabiano Contarato","Fabiano Contarato","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953","sen.fabianocontarato@senado.leg.br","REDE","548","ES","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"22","5540","Fernando Bezerra de Souza Coelho","Fernando Bezerra Coelho","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540","fernandobezerracoelho@senador.leg.br","MDB","519","PE","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"23","4525","Fernando Affonso Collor de Mello","Fernando Collor","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525","fernando.collor@senador.leg.br","PROS","511","AL","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"24","345","Flavio Jose Arns","Flavio Arns","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/345","sen.flavioarns@senado.leg.br","REDE","540","PR","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"25","5894","Flavio Nantes Bolsonaro","Flavio Bolsonaro","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894","sen.flaviobolsonaro@senado.leg.br","PSL","532","RJ","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"26","5008","Humberto Sergio Costa Lima","Humberto Costa","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","humberto.costa@senador.leg.br","PT","525","PE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"27","5385","Iraja Silvestre Filho","Iraja","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385","sen.iraja@senado.leg.br","PSD","567","TO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"28","4770","Izalci Lucas Ferreira","Izalci Lucas","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770","sen.izalcilucas@senado.leg.br","PSDB","552","DF","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"29","35","Jader Fontenelle Barbalho","Jader Barbalho","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/35","jader.barbalho@senador.leg.br","MDB","528","PA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"30","581","Jaques Wagner","Jaques Wagner","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/581","sen.jaqueswagner@senado.leg.br","PT","555","BA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"31","4545","Jarbas de Andrade Vasconcelos","Jarbas Vasconcelos","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4545.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4545","sen.jarbasvasconcelos@senado.leg.br","MDB","526","PE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"32","4531","Jayme Verissimo de Campos","Jayme Campos","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531","Sen.JaymeCampos@senado.leg.br","DEM","553","MT","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"33","5627","Jean Paul Terra Prates","Jean Paul Prates","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5627.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5627","sen.jeanpaulprates@senado.leg.br","PT","510","RN","1º Suplente","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"34","5895","Jorge Kajuru Reis da Costa Nasser","Jorge Kajuru","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895","sen.jorgekajuru@senado.leg.br","PSB","533","GO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"35","5350","Jorginho dos Santos Mello","Jorginho Mello","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5350.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5350","sen.jorginhomello@senado.leg.br","PR","571","SC","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"36","3361","Jose Targino Maranhao","Jose Maranhao","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3361.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/3361","jose.maranhao@senador.leg.br","MDB","513","PB","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"37","90","Jose Serra","Jose Serra","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/90","jose.serra@senador.leg.br","PSDB","516","SP","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"38","1249","Katia Regina de Abreu","Katia Abreu","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1249.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/1249","katia.abreu@senadora.leg.br","PDT","518","TO","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"39","5533","Lasier Costa Martins","Lasier Martins","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5533","lasier.martins@senador.leg.br","PODE","497","RS","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"40","5979","Leila Gomes de Barros Rego","Leila Barros","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","558","DF","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"41","5926","Luiz Cantuaria Barreto","Lucas Barreto","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926","sen.lucasbarreto@senado.leg.br","PSD","543","AP","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"42","1186","Luis Carlos Heinze","Luis Carlos Heinze","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186","sen.luiscarlosheinze@senado.leg.br","PP","574","RS","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"43","5585","Luiz Carlos do Carmo","Luiz do Carmo","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5585.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5585","sen.luizcarlosdocarmo@senado.leg.br","MDB","504","GO","1º Suplente","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"44","5557","Mailza Assis da Silva","Mailza Gomes","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5557.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5557","sen.mailzagomes@senado.leg.br","PP","500","AC","1º Suplente","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"45","5666","Sergio Olimpio Gomes","Major Olimpio","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5666.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5666","sen.majorolimpio@senado.leg.br","PSL","570","SP","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"46","5376","Mara Cristina Gabrilli","Mara Gabrilli","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376","sen.maragabrilli@senado.leg.br","PSDB","569","SP","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"47","742","Marcelo Costa e Castro","Marcelo Castro","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/742","sen.marcelocastro@senado.leg.br","MDB","539","PI","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"48","285","Marcio Miguel Bittar","Marcio Bittar","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/285","sen.marciobittar@senado.leg.br","MDB","536","AC","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"49","5422","Marcos Rogerio da Silva Brito","Marcos Rogerio","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422","sen.marcosrogerio@senado.leg.br","DEM","576","RO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"50","5942","Marcos Ribeiro do Val","Marcos do Val","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942","sen.marcosdoval@senado.leg.br","PPS","547","ES","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"51","1023","Maria do Carmo do Nascimento Alves","Maria do Carmo Alves","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/1023","maria.carmo.alves@senadora.leg.br","DEM","517","SE","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"52","6027","Antonio Mecias Pereira de Jesus","Mecias de Jesus","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027","sen.meciasdejesus@senado.leg.br","PRB","578","RR","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"53","5985","Nelson Trad Filho","Nelsinho Trad","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985","sen.nelsinhotrad@senado.leg.br","PSD","560","MS","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"54","5525","Omar Jose Abdel Aziz","Omar Aziz","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525","omar.aziz@senador.leg.br","PSD","493","AM","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"55","5924","Oriovisto Guimaraes","Oriovisto Guimaraes","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924","sen.oriovistoguimaraes@senado.leg.br","PODE","541","PR","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"56","5523","Otto Roberto Mendonca de Alencar","Otto Alencar","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523","otto.alencar@senador.leg.br","PSD","492","BA","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"57","825","Paulo Renato Paim","Paulo Paim","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/825","paulopaim@senador.leg.br","PT","523","RS","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"58","374","Paulo Roberto Galvao da Rocha","Paulo Rocha","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/374","paulo.rocha@senador.leg.br","PT","507","PA","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"59","5502","Francisco Plinio Valerio Tomaz","Plinio Valerio","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","573","AM","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"60","5012","Randolph Frederich Rodrigues Alves","Randolfe Rodrigues","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","randolfe.rodrigues@senador.leg.br","REDE","522","AP","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"61","5236","Jose Antonio Machado Reguffe","Reguffe","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5236","reguffe@senador.leg.br","S/Partido","502","DF","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"62","70","Jose Renan Vasconcelos Calheiros","Renan Calheiros","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/70","renan.calheiros@senador.leg.br","MDB","527","AL","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"63","677","Roberto Coelho Rocha","Roberto Rocha","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/677","robertorocha@senador.leg.br","PSDB","505","MA","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"64","5905","Rodrigo Santos Cunha","Rodrigo Cunha","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5905","sen.rodrigocunha@senado.leg.br","PSDB","537","AL","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"65","5732","Rodrigo Otavio Soares Pacheco","Rodrigo Pacheco","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732","sen.rodrigopacheco@senado.leg.br","DEM","562","MG","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"66","5352","Rogerio Carvalho Santos","Rogerio Carvalho","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352","sen.rogeriocarvalho@senado.leg.br","PT","579","SE","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"67","5322","Romario de Souza Faria","Romario","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322","romario@senador.leg.br","PODE","509","RJ","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"68","2331","Rosilda de Freitas","Rose de Freitas","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/2331","rose.freitas@senadora.leg.br","PODE","503","ES","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"69","5929","Selma Rosane Santos Arruda","Selma Arruda","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5929.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5929","sen.selmaarruda@senado.leg.br","PSL","544","MT","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"70","5527","Simone Nassar Tebet","Simone Tebet","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5527","simone.tebet@senadora.leg.br","MDB","494","MS","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"71","5988","Soraya Vieira Thronicke","Soraya Thronicke","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988","sen.sorayathronicke@senado.leg.br","PSL","561","MS","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"72","5959","Eann Styvenson Valentim Mendes","Styvenson Valentim","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959","sen.styvensonvalentim@senado.leg.br","PODE","550","RN","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"73","4560","Sergio de Oliveira Cunha","Sergio Petecao","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560","sergio.petecao@senador.leg.br","PSD","520","AC","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"74","3396","Tasso Ribeiro Jereissati","Tasso Jereissati","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/3396","tasso.jereissati@senador.leg.br","PSDB","512","CE","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"75","5535","Telmario Mota de Oliveira","Telmario Mota","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5535","telmariomota@senador.leg.br","PROS","498","RR","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"76","5899","Vanderlan Vieira Cardoso","Vanderlan Cardoso","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899","sen.vanderlancardoso@senado.leg.br","PP","538","GO","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"77","5748","Veneziano Vital do Rego Segundo Neto","Veneziano Vital do Rego","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748","sen.venezianovitaldorego@senado.leg.br","PSB","564","PB","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"78","1173","Wellington Antonio Fagundes","Wellington Fagundes","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/1173","wellington.fagundes@senador.leg.br","PR","506","MT","Titular","55",2015-02-01,2019-01-31,"56",2019-02-01,2023-01-31
"79","5411","Weverton Rocha Marques de Sousa","Weverton","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","529","MA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"80","5783","Zenaide Maia Calado Pereira dos Santos","Zenaide Maia","Feminino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5783","sen.zenaidemaia@senado.leg.br","PROS","551","RN","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
"81","3806","Jose da Cruz Marinho","Zequinha Marinho","Masculino","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/3806","sen.zequinhamarinho@senado.leg.br","PSC","566","PA","Titular","56",2019-02-01,2023-01-31,"57",2023-02-01,2027-01-31
